split,sentence,tokens,ner_tags,ner_labels
train,The patient has enamel hypoplasia and was started on prednisone .,The|patient|has|enamel|hypoplasia|and|was|started|on|prednisone|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,"Patient reports malocclusion , amoxicillin clavulanate prescribed .","Patient|reports|malocclusion|,|amoxicillin|clavulanate|prescribed|.",0 0 1 0 3 4 0 0,O|O|B-Disease|O|B-Chemical|I-Chemical|O|O
train,Patient was prescribed azithromycin for abscess .,Patient|was|prescribed|azithromycin|for|abscess|.,0 0 0 3 0 1 0,O|O|O|B-Chemical|O|B-Disease|O
train,Treatment for necrotizing gingivitis includes mepivacaine .,Treatment|for|necrotizing|gingivitis|includes|mepivacaine|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,Treatment for gingival enlargement includes acetaminophen .,Treatment|for|gingival|enlargement|includes|acetaminophen|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Diagnosis of tartar buildup confirmed , amoxicillin recommended .","Diagnosis|of|tartar|buildup|confirmed|,|amoxicillin|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,Patient was prescribed calcium hydroxide for calculus .,Patient|was|prescribed|calcium|hydroxide|for|calculus|.,0 0 0 3 4 0 1 0,O|O|O|B-Chemical|I-Chemical|O|B-Disease|O
train,Treatment for caries includes pilocarpine .,Treatment|for|caries|includes|pilocarpine|.,0 0 1 0 3 0,O|O|B-Disease|O|B-Chemical|O
train,"Patient reports canker sore , aspirin prescribed .","Patient|reports|canker|sore|,|aspirin|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Prescribed clotrimazole to manage burning mouth syndrome .,Prescribed|clotrimazole|to|manage|burning|mouth|syndrome|.,0 3 0 0 1 2 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|I-Disease|O
train,Prescribed silver diamine fluoride to manage odontogenic cyst .,Prescribed|silver|diamine|fluoride|to|manage|odontogenic|cyst|.,0 3 4 4 0 0 1 2 0,O|B-Chemical|I-Chemical|I-Chemical|O|O|B-Disease|I-Disease|O
train,Patient was prescribed dexamethasone for enamel erosion .,Patient|was|prescribed|dexamethasone|for|enamel|erosion|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Treatment for odontogenic cyst includes clarithromycin .,Treatment|for|odontogenic|cyst|includes|clarithromycin|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,Patient was prescribed tetracycline for oral mucositis .,Patient|was|prescribed|tetracycline|for|oral|mucositis|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,"Patient reports impacted tooth , amlexanox prescribed .","Patient|reports|impacted|tooth|,|amlexanox|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Fluconazole was administered for pericoronitis .,Fluconazole|was|administered|for|pericoronitis|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,"Diagnosis of tooth decay confirmed , sodium fluoride recommended .","Diagnosis|of|tooth|decay|confirmed|,|sodium|fluoride|recommended|.",0 0 1 2 0 0 3 4 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|I-Chemical|O|O
train,Treatment for canker sore includes prilocaine .,Treatment|for|canker|sore|includes|prilocaine|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Diagnosis of halitosis confirmed , tetracycline recommended .","Diagnosis|of|halitosis|confirmed|,|tetracycline|recommended|.",0 0 1 0 0 3 0 0,O|O|B-Disease|O|O|B-Chemical|O|O
train,Patient was prescribed clarithromycin for sialadenitis .,Patient|was|prescribed|clarithromycin|for|sialadenitis|.,0 0 0 3 0 1 0,O|O|O|B-Chemical|O|B-Disease|O
train,Patient was prescribed zinc oxide eugenol for dental fluorosis .,Patient|was|prescribed|zinc|oxide|eugenol|for|dental|fluorosis|.,0 0 0 3 4 4 0 1 2 0,O|O|O|B-Chemical|I-Chemical|I-Chemical|O|B-Disease|I-Disease|O
train,Treatment for pericoronal infection includes ibuprofen .,Treatment|for|pericoronal|infection|includes|ibuprofen|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Patient reports dentin hypersensitivity , nystatin prescribed .","Patient|reports|dentin|hypersensitivity|,|nystatin|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Prescribed tranexamic acid to manage calculus .,Prescribed|tranexamic|acid|to|manage|calculus|.,0 3 4 0 0 1 0,O|B-Chemical|I-Chemical|O|O|B-Disease|O
train,The patient has burning mouth syndrome and was started on tramadol .,The|patient|has|burning|mouth|syndrome|and|was|started|on|tramadol|.,0 0 0 1 2 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,The patient has supernumerary teeth and was started on pilocarpine .,The|patient|has|supernumerary|teeth|and|was|started|on|pilocarpine|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Patient was prescribed methylprednisolone for jaw pain .,Patient|was|prescribed|methylprednisolone|for|jaw|pain|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Treatment for tooth attrition includes silver diamine fluoride .,Treatment|for|tooth|attrition|includes|silver|diamine|fluoride|.,0 0 1 2 0 3 4 4 0,O|O|B-Disease|I-Disease|O|B-Chemical|I-Chemical|I-Chemical|O
train,"Diagnosis of root resorption confirmed , amoxicillin recommended .","Diagnosis|of|root|resorption|confirmed|,|amoxicillin|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,"Patient reports enamel erosion , bupivacaine prescribed .","Patient|reports|enamel|erosion|,|bupivacaine|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Povidone iodine was administered for jaw pain .,Povidone|iodine|was|administered|for|jaw|pain|.,0 0 0 0 0 1 2 0,O|O|O|O|O|B-Disease|I-Disease|O
train,Prescribed clarithromycin to manage angular cheilitis .,Prescribed|clarithromycin|to|manage|angular|cheilitis|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,"Patient reports aphthous ulcer , ibuprofen prescribed .","Patient|reports|aphthous|ulcer|,|ibuprofen|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,"Diagnosis of oral infection confirmed , naproxen recommended .","Diagnosis|of|oral|infection|confirmed|,|naproxen|recommended|.",0 0 1 2 0 0 3 0 0,O|O|B-Disease|I-Disease|O|O|B-Chemical|O|O
train,Patient was prescribed povidone iodine for alveolar bone loss .,Patient|was|prescribed|povidone|iodine|for|alveolar|bone|loss|.,0 0 0 3 4 0 1 2 2 0,O|O|O|B-Chemical|I-Chemical|O|B-Disease|I-Disease|I-Disease|O
train,"Patient reports gingivitis , diclofenac prescribed .","Patient|reports|gingivitis|,|diclofenac|prescribed|.",0 0 1 0 3 0 0,O|O|B-Disease|O|B-Chemical|O|O
train,Patient was prescribed acetaminophen for socket infection .,Patient|was|prescribed|acetaminophen|for|socket|infection|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Patient was prescribed penicillin for dentin hypersensitivity .,Patient|was|prescribed|penicillin|for|dentin|hypersensitivity|.,0 0 0 3 0 1 2 0,O|O|O|B-Chemical|O|B-Disease|I-Disease|O
train,Prescribed fluoride to manage gingivitis .,Prescribed|fluoride|to|manage|gingivitis|.,0 3 0 0 1 0,O|B-Chemical|O|O|B-Disease|O
train,Treatment for leukoplakia includes prednisone .,Treatment|for|leukoplakia|includes|prednisone|.,0 0 1 0 3 0,O|O|B-Disease|O|B-Chemical|O
train,Prescribed tramadol to manage acute gingivitis .,Prescribed|tramadol|to|manage|acute|gingivitis|.,0 3 0 0 1 2 0,O|B-Chemical|O|O|B-Disease|I-Disease|O
train,The patient has radicular cyst and was started on silver diamine fluoride .,The|patient|has|radicular|cyst|and|was|started|on|silver|diamine|fluoride|.,0 0 0 1 2 0 0 0 0 3 4 4 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|I-Chemical|I-Chemical|O
train,"Diagnosis of crowding confirmed , ibuprofen recommended .","Diagnosis|of|crowding|confirmed|,|ibuprofen|recommended|.",0 0 1 0 0 3 0 0,O|O|B-Disease|O|O|B-Chemical|O|O
train,Treatment for oral mucositis includes doxycycline .,Treatment|for|oral|mucositis|includes|doxycycline|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,Prescribed nitrous oxide to manage exposed root .,Prescribed|nitrous|oxide|to|manage|exposed|root|.,0 3 4 0 0 1 2 0,O|B-Chemical|I-Chemical|O|O|B-Disease|I-Disease|O
train,Erythromycin was administered for apical periodontitis .,Erythromycin|was|administered|for|apical|periodontitis|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,Mepivacaine was administered for odontogenic cyst .,Mepivacaine|was|administered|for|odontogenic|cyst|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,The patient has malocclusion and was started on ketorolac .,The|patient|has|malocclusion|and|was|started|on|ketorolac|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,The patient has leukoplakia and was started on bupivacaine .,The|patient|has|leukoplakia|and|was|started|on|bupivacaine|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,Azithromycin was administered for stomatitis .,Azithromycin|was|administered|for|stomatitis|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,The patient has crowding and was started on codeine .,The|patient|has|crowding|and|was|started|on|codeine|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,Amoxicillin was administered for oral thrush .,Amoxicillin|was|administered|for|oral|thrush|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,Treatment for caries includes clarithromycin .,Treatment|for|caries|includes|clarithromycin|.,0 0 1 0 3 0,O|O|B-Disease|O|B-Chemical|O
train,Treatment for oral thrush includes mineral trioxide aggregate .,Treatment|for|oral|thrush|includes|mineral|trioxide|aggregate|.,0 0 1 2 0 3 4 4 0,O|O|B-Disease|I-Disease|O|B-Chemical|I-Chemical|I-Chemical|O
train,Prescribed amlexanox to manage xerostomia .,Prescribed|amlexanox|to|manage|xerostomia|.,0 3 0 0 1 0,O|B-Chemical|O|O|B-Disease|O
train,The patient has sensitivity and was started on fluoride .,The|patient|has|sensitivity|and|was|started|on|fluoride|.,0 0 0 1 0 0 0 0 3 0,O|O|O|B-Disease|O|O|O|O|B-Chemical|O
train,Pilocarpine was administered for tooth fracture .,Pilocarpine|was|administered|for|tooth|fracture|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,Treatment for xerostomia includes acidulated phosphate fluoride .,Treatment|for|xerostomia|includes|acidulated|phosphate|fluoride|.,0 0 1 0 3 4 4 0,O|O|B-Disease|O|B-Chemical|I-Chemical|I-Chemical|O
train,The patient has gingival recession and was started on nitrous oxide .,The|patient|has|gingival|recession|and|was|started|on|nitrous|oxide|.,0 0 0 1 2 0 0 0 0 3 4 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|I-Chemical|O
train,Prescribed lidocaine to manage overbite .,Prescribed|lidocaine|to|manage|overbite|.,0 3 0 0 1 0,O|B-Chemical|O|O|B-Disease|O
train,"Patient reports radicular cyst , benzocaine prescribed .","Patient|reports|radicular|cyst|,|benzocaine|prescribed|.",0 0 1 2 0 3 0 0,O|O|B-Disease|I-Disease|O|B-Chemical|O|O
train,Treatment for gum disease includes articaine .,Treatment|for|gum|disease|includes|articaine|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,"Patient reports sensitivity , acidulated phosphate fluoride prescribed .","Patient|reports|sensitivity|,|acidulated|phosphate|fluoride|prescribed|.",0 0 1 0 3 4 4 0 0,O|O|B-Disease|O|B-Chemical|I-Chemical|I-Chemical|O|O
train,"Diagnosis of periodontitis confirmed , naproxen recommended .","Diagnosis|of|periodontitis|confirmed|,|naproxen|recommended|.",0 0 1 0 0 3 0 0,O|O|B-Disease|O|O|B-Chemical|O|O
train,The patient has embedded tooth and was started on midazolam .,The|patient|has|embedded|tooth|and|was|started|on|midazolam|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Aspirin was administered for tmj pain .,Aspirin|was|administered|for|tmj|pain|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,The patient has tmj pain and was started on ketorolac .,The|patient|has|tmj|pain|and|was|started|on|ketorolac|.,0 0 0 1 2 0 0 0 0 3 0,O|O|O|B-Disease|I-Disease|O|O|O|O|B-Chemical|O
train,Ciprofloxacin was administered for socket infection .,Ciprofloxacin|was|administered|for|socket|infection|.,0 0 0 0 1 2 0,O|O|O|O|B-Disease|I-Disease|O
train,Treatment for reversible pulpitis includes levonordefrin .,Treatment|for|reversible|pulpitis|includes|levonordefrin|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
train,Triazolam was administered for ankylosis .,Triazolam|was|administered|for|ankylosis|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,Codeine was administered for periodontitis .,Codeine|was|administered|for|periodontitis|.,0 0 0 0 1 0,O|O|O|O|B-Disease|O
train,Povidone iodine was administered for abscess .,Povidone|iodine|was|administered|for|abscess|.,0 0 0 0 0 1 0,O|O|O|O|O|B-Disease|O
train,Treatment for tooth attrition includes ketorolac .,Treatment|for|tooth|attrition|includes|ketorolac|.,0 0 1 2 0 3 0,O|O|B-Disease|I-Disease|O|B-Chemical|O
