split,sentence,tokens,ner_tags,ner_labels
train,"Diagnosis of tooth decay confirmed , amoxicillin recommended .","Diagnosis | of | tooth | decay | confirmed | , | amoxicillin | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,The patient has inflammation and was started on aspirin .,The | patient | has | inflammation | and | was | started | on | aspirin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,The patient has oral infection and was started on clindamycin .,The | patient | has | oral | infection | and | was | started | on | clindamycin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed fluoride for gum disease .,Patient | was | prescribed | fluoride | for | gum | disease | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,Patient was prescribed amoxicillin for oral infection .,Patient | was | prescribed | amoxicillin | for | oral | infection | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,The patient has dental caries and was started on amoxicillin .,The | patient | has | dental | caries | and | was | started | on | amoxicillin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Prescribed acetaminophen to manage dental caries .,Prescribed | acetaminophen | to | manage | dental | caries | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,Lidocaine was administered for oral infection .,Lidocaine | was | administered | for | oral | infection | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Clindamycin was administered for caries .,Clindamycin | was | administered | for | caries | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,Prescribed chlorhexidine to manage gum disease .,Prescribed | chlorhexidine | to | manage | gum | disease | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,The patient has infection and was started on metronidazole .,The | patient | has | infection | and | was | started | on | metronidazole | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Treatment for cavity includes tetracycline .,Treatment | for | cavity | includes | tetracycline | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,Treatment for toothache includes metronidazole .,Treatment | for | toothache | includes | metronidazole | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,"Patient reports gum disease , naproxen prescribed .","Patient | reports | gum | disease | , | naproxen | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,"Patient reports oral infection , penicillin prescribed .","Patient | reports | oral | infection | , | penicillin | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Patient was prescribed acetaminophen for gingivitis .,Patient | was | prescribed | acetaminophen | for | gingivitis | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Prescribed lidocaine to manage tooth decay .,Prescribed | lidocaine | to | manage | tooth | decay | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,Aspirin was administered for caries .,Aspirin | was | administered | for | caries | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,Prescribed acetaminophen to manage abscess .,Prescribed | acetaminophen | to | manage | abscess | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Treatment for tooth loss includes tetracycline .,Treatment | for | tooth | loss | includes | tetracycline | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,Patient was prescribed penicillin for cavity .,Patient | was | prescribed | penicillin | for | cavity | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Treatment for dental caries includes chlorhexidine .,Treatment | for | dental | caries | includes | chlorhexidine | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,The patient has caries and was started on amoxicillin .,The | patient | has | caries | and | was | started | on | amoxicillin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Treatment for dental caries includes penicillin .,Treatment | for | dental | caries | includes | penicillin | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,"Patient reports gingivitis , amoxicillin prescribed .","Patient | reports | gingivitis | , | amoxicillin | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,The patient has tooth decay and was started on clindamycin .,The | patient | has | tooth | decay | and | was | started | on | clindamycin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed clindamycin for tooth loss .,Patient | was | prescribed | clindamycin | for | tooth | loss | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,"Patient reports caries , naproxen prescribed .","Patient | reports | caries | , | naproxen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Prescribed naproxen to manage infection .,Prescribed | naproxen | to | manage | infection | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Prescribed ibuprofen to manage infection .,Prescribed | ibuprofen | to | manage | infection | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Prescribed aspirin to manage oral infection .,Prescribed | aspirin | to | manage | oral | infection | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,Patient was prescribed acetaminophen for sensitivity .,Patient | was | prescribed | acetaminophen | for | sensitivity | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,"Patient reports periodontitis , tetracycline prescribed .","Patient | reports | periodontitis | , | tetracycline | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Ibuprofen was administered for gum disease .,Ibuprofen | was | administered | for | gum | disease | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,"Diagnosis of oral infection confirmed , naproxen recommended .","Diagnosis | of | oral | infection | confirmed | , | naproxen | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,Metronidazole was administered for cavity .,Metronidazole | was | administered | for | cavity | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,"Patient reports abscess , acetaminophen prescribed .","Patient | reports | abscess | , | acetaminophen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Patient was prescribed naproxen for periodontitis .,Patient | was | prescribed | naproxen | for | periodontitis | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,The patient has oral infection and was started on ibuprofen .,The | patient | has | oral | infection | and | was | started | on | ibuprofen | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed ibuprofen for tooth loss .,Patient | was | prescribed | ibuprofen | for | tooth | loss | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,Treatment for dental caries includes fluoride .,Treatment | for | dental | caries | includes | fluoride | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,"Diagnosis of infection confirmed , fluoride recommended .","Diagnosis | of | infection | confirmed | , | fluoride | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,Aspirin was administered for tooth decay .,Aspirin | was | administered | for | tooth | decay | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Treatment for tooth decay includes metronidazole .,Treatment | for | tooth | decay | includes | metronidazole | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,"Patient reports gingivitis , amoxicillin prescribed .","Patient | reports | gingivitis | , | amoxicillin | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Prescribed aspirin to manage infection .,Prescribed | aspirin | to | manage | infection | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Treatment for dental caries includes penicillin .,Treatment | for | dental | caries | includes | penicillin | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,The patient has tooth decay and was started on naproxen .,The | patient | has | tooth | decay | and | was | started | on | naproxen | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,"Diagnosis of tooth loss confirmed , aspirin recommended .","Diagnosis | of | tooth | loss | confirmed | , | aspirin | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,"Patient reports tooth loss , aspirin prescribed .","Patient | reports | tooth | loss | , | aspirin | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Prescribed tetracycline to manage jaw pain .,Prescribed | tetracycline | to | manage | jaw | pain | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,"Diagnosis of gum disease confirmed , acetaminophen recommended .","Diagnosis | of | gum | disease | confirmed | , | acetaminophen | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,Patient was prescribed acetaminophen for toothache .,Patient | was | prescribed | acetaminophen | for | toothache | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Prescribed fluoride to manage jaw pain .,Prescribed | fluoride | to | manage | jaw | pain | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,Aspirin was administered for caries .,Aspirin | was | administered | for | caries | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,The patient has caries and was started on acetaminophen .,The | patient | has | caries | and | was | started | on | acetaminophen | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed penicillin for gingivitis .,Patient | was | prescribed | penicillin | for | gingivitis | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Patient was prescribed penicillin for toothache .,Patient | was | prescribed | penicillin | for | toothache | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Patient was prescribed ibuprofen for tooth decay .,Patient | was | prescribed | ibuprofen | for | tooth | decay | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,The patient has toothache and was started on chlorhexidine .,The | patient | has | toothache | and | was | started | on | chlorhexidine | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed fluoride for gingivitis .,Patient | was | prescribed | fluoride | for | gingivitis | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Chlorhexidine was administered for periodontitis .,Chlorhexidine | was | administered | for | periodontitis | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,"Patient reports gingivitis , ibuprofen prescribed .","Patient | reports | gingivitis | , | ibuprofen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Prescribed acetaminophen to manage oral infection .,Prescribed | acetaminophen | to | manage | oral | infection | .,0 3 0 0 1 2 0,O | B-Chemical | O | O | B-Disease | I-Disease | O
train,Prescribed metronidazole to manage caries .,Prescribed | metronidazole | to | manage | caries | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,Patient was prescribed metronidazole for periodontitis .,Patient | was | prescribed | metronidazole | for | periodontitis | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,"Patient reports caries , naproxen prescribed .","Patient | reports | caries | , | naproxen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,The patient has gum disease and was started on fluoride .,The | patient | has | gum | disease | and | was | started | on | fluoride | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Patient was prescribed ibuprofen for infection .,Patient | was | prescribed | ibuprofen | for | infection | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Treatment for caries includes ibuprofen .,Treatment | for | caries | includes | ibuprofen | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,Amoxicillin was administered for tooth loss .,Amoxicillin | was | administered | for | tooth | loss | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Fluoride was administered for tooth decay .,Fluoride | was | administered | for | tooth | decay | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Patient was prescribed chlorhexidine for dental caries .,Patient | was | prescribed | chlorhexidine | for | dental | caries | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,Naproxen was administered for infection .,Naproxen | was | administered | for | infection | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,The patient has tooth loss and was started on clindamycin .,The | patient | has | tooth | loss | and | was | started | on | clindamycin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Treatment for tooth decay includes chlorhexidine .,Treatment | for | tooth | decay | includes | chlorhexidine | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,Prescribed fluoride to manage infection .,Prescribed | fluoride | to | manage | infection | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,"Diagnosis of caries confirmed , clindamycin recommended .","Diagnosis | of | caries | confirmed | , | clindamycin | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,"Patient reports gum disease , naproxen prescribed .","Patient | reports | gum | disease | , | naproxen | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,"Patient reports gum disease , chlorhexidine prescribed .","Patient | reports | gum | disease | , | chlorhexidine | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Clindamycin was administered for gingivitis .,Clindamycin | was | administered | for | gingivitis | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,Patient was prescribed tetracycline for dental caries .,Patient | was | prescribed | tetracycline | for | dental | caries | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,"Patient reports abscess , ibuprofen prescribed .","Patient | reports | abscess | , | ibuprofen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Patient was prescribed lidocaine for sensitivity .,Patient | was | prescribed | lidocaine | for | sensitivity | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Patient was prescribed aspirin for jaw pain .,Patient | was | prescribed | aspirin | for | jaw | pain | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,"Diagnosis of dental caries confirmed , aspirin recommended .","Diagnosis | of | dental | caries | confirmed | , | aspirin | recommended | .",0 0 1 2 0 0 3 0 0,O | O | B-Disease | I-Disease | O | O | B-Chemical | O | O
train,Treatment for tooth decay includes clindamycin .,Treatment | for | tooth | decay | includes | clindamycin | .,0 0 1 2 0 3 0,O | O | B-Disease | I-Disease | O | B-Chemical | O
train,The patient has tooth loss and was started on lidocaine .,The | patient | has | tooth | loss | and | was | started | on | lidocaine | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,"Patient reports toothache , clindamycin prescribed .","Patient | reports | toothache | , | clindamycin | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Treatment for abscess includes fluoride .,Treatment | for | abscess | includes | fluoride | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,Prescribed tetracycline to manage sensitivity .,Prescribed | tetracycline | to | manage | sensitivity | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,The patient has caries and was started on amoxicillin .,The | patient | has | caries | and | was | started | on | amoxicillin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,"Patient reports sensitivity , metronidazole prescribed .","Patient | reports | sensitivity | , | metronidazole | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,Naproxen was administered for gingivitis .,Naproxen | was | administered | for | gingivitis | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,"Patient reports sensitivity , ibuprofen prescribed .","Patient | reports | sensitivity | , | ibuprofen | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,"Diagnosis of sensitivity confirmed , clindamycin recommended .","Diagnosis | of | sensitivity | confirmed | , | clindamycin | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,The patient has tooth decay and was started on amoxicillin .,The | patient | has | tooth | decay | and | was | started | on | amoxicillin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Treatment for infection includes lidocaine .,Treatment | for | infection | includes | lidocaine | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,Treatment for gingivitis includes amoxicillin .,Treatment | for | gingivitis | includes | amoxicillin | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,"Diagnosis of cavity confirmed , amoxicillin recommended .","Diagnosis | of | cavity | confirmed | , | amoxicillin | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,The patient has dental caries and was started on ibuprofen .,The | patient | has | dental | caries | and | was | started | on | ibuprofen | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Penicillin was administered for oral infection .,Penicillin | was | administered | for | oral | infection | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,The patient has oral infection and was started on amoxicillin .,The | patient | has | oral | infection | and | was | started | on | amoxicillin | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,"Diagnosis of gingivitis confirmed , aspirin recommended .","Diagnosis | of | gingivitis | confirmed | , | aspirin | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,Prescribed lidocaine to manage toothache .,Prescribed | lidocaine | to | manage | toothache | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,"Diagnosis of toothache confirmed , ibuprofen recommended .","Diagnosis | of | toothache | confirmed | , | ibuprofen | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
train,Treatment for toothache includes aspirin .,Treatment | for | toothache | includes | aspirin | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,"Patient reports tooth decay , chlorhexidine prescribed .","Patient | reports | tooth | decay | , | chlorhexidine | prescribed | .",0 0 1 2 0 3 0 0,O | O | B-Disease | I-Disease | O | B-Chemical | O | O
train,Chlorhexidine was administered for toothache .,Chlorhexidine | was | administered | for | toothache | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,The patient has tooth decay and was started on lidocaine .,The | patient | has | tooth | decay | and | was | started | on | lidocaine | .,0 0 0 1 2 0 0 0 0 3 0,O | O | O | B-Disease | I-Disease | O | O | O | O | B-Chemical | O
train,Naproxen was administered for tooth loss .,Naproxen | was | administered | for | tooth | loss | .,0 0 0 0 1 2 0,O | O | O | O | B-Disease | I-Disease | O
train,Patient was prescribed chlorhexidine for tooth decay .,Patient | was | prescribed | chlorhexidine | for | tooth | decay | .,0 0 0 3 0 1 2 0,O | O | O | B-Chemical | O | B-Disease | I-Disease | O
train,Patient was prescribed acetaminophen for sensitivity .,Patient | was | prescribed | acetaminophen | for | sensitivity | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Patient was prescribed chlorhexidine for cavity .,Patient | was | prescribed | chlorhexidine | for | cavity | .,0 0 0 3 0 1 0,O | O | O | B-Chemical | O | B-Disease | O
train,Prescribed ibuprofen to manage periodontitis .,Prescribed | ibuprofen | to | manage | periodontitis | .,0 3 0 0 1 0,O | B-Chemical | O | O | B-Disease | O
train,The patient has sensitivity and was started on aspirin .,The | patient | has | sensitivity | and | was | started | on | aspirin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Acetaminophen was administered for abscess .,Acetaminophen | was | administered | for | abscess | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,Clindamycin was administered for periodontitis .,Clindamycin | was | administered | for | periodontitis | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,The patient has toothache and was started on amoxicillin .,The | patient | has | toothache | and | was | started | on | amoxicillin | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,"Patient reports cavity , metronidazole prescribed .","Patient | reports | cavity | , | metronidazole | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,The patient has gingivitis and was started on fluoride .,The | patient | has | gingivitis | and | was | started | on | fluoride | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,"Patient reports periodontitis , aspirin prescribed .","Patient | reports | periodontitis | , | aspirin | prescribed | .",0 0 1 0 3 0 0,O | O | B-Disease | O | B-Chemical | O | O
train,The patient has sensitivity and was started on ibuprofen .,The | patient | has | sensitivity | and | was | started | on | ibuprofen | .,0 0 0 1 0 0 0 0 3 0,O | O | O | B-Disease | O | O | O | O | B-Chemical | O
train,Metronidazole was administered for caries .,Metronidazole | was | administered | for | caries | .,0 0 0 0 1 0,O | O | O | O | B-Disease | O
train,Treatment for cavity includes fluoride .,Treatment | for | cavity | includes | fluoride | .,0 0 1 0 3 0,O | O | B-Disease | O | B-Chemical | O
train,"Diagnosis of toothache confirmed , ibuprofen recommended .","Diagnosis | of | toothache | confirmed | , | ibuprofen | recommended | .",0 0 1 0 0 3 0 0,O | O | B-Disease | O | O | B-Chemical | O | O
