example_id,text,label,diagnosis,procedure,medication,tooth_number,source_type
16,Patient requests whitening for yellowing enamel. take-home whitening kit initiated; carbamide peroxide prescribed for sensitivity.,whitening_form,yellowing enamel,take-home whitening kit,carbamide peroxide,1,synthetic_dental_form_example
17,Tooth 23 requires temporary crown placement due to worn down tooth. Impression taken; ibuprofen prescribed.,crown_bridge_form,worn down tooth,temporary crown placement,ibuprofen,23,synthetic_dental_form_example
18,Patient attended for consultation. Main concern: dry mouth. ibuprofen suggested.,consultation_form,dry mouth,consultation,ibuprofen,11,synthetic_dental_form_example
19,Retainer fitting following bracket placement. overbite successfully corrected. acetaminophen not required beyond today.,orthodontic_form,overbite,bracket placement,acetaminophen,13,synthetic_dental_form_example
20,Take-home whitening tray fitting kit provided for intrinsic staining. hydrogen peroxide gel prescribed if sensitivity arises.,whitening_form,intrinsic staining,whitening tray fitting,hydrogen peroxide gel,30,synthetic_dental_form_example
21,Treatment plan for malocclusion. space maintainer placement to commence following extractions; acetaminophen dispensed.,orthodontic_form,malocclusion,space maintainer placement,acetaminophen,23,synthetic_dental_form_example
22,Patient attends for bone grafting. Diagnosis: attachment loss. ibuprofen prescribed as adjunct.,periodontal_form,attachment loss,bone grafting,ibuprofen,12,synthetic_dental_form_example
23,Orthodontic records taken. Diagnosis: crossbite. wire adjustment to begin next appointment. orthodontic wax given.,orthodontic_form,crossbite,wire adjustment,orthodontic wax,30,synthetic_dental_form_example
24,Patient attends for periodontal therapy. Diagnosis: periodontal abscess. chlorhexidine rinse prescribed as adjunct.,periodontal_form,periodontal abscess,periodontal therapy,chlorhexidine rinse,5,synthetic_dental_form_example
25,Patient attends for guided tissue regeneration. Diagnosis: aggressive periodontitis. minocycline prescribed as adjunct.,periodontal_form,aggressive periodontitis,guided tissue regeneration,minocycline,6,synthetic_dental_form_example
26,Endodontic therapy for tooth 5 due to chronic apical periodontitis. pulp removal completed under rubber dam. ibuprofen advised.,root_canal_form,chronic apical periodontitis,pulp removal,ibuprofen,5,synthetic_dental_form_example
27,Clinical findings confirm irreversible pulpitis on tooth 23. surgical extraction carried out; metronidazole given for pain control.,extraction_form,irreversible pulpitis,surgical extraction,metronidazole,23,synthetic_dental_form_example
28,Patient reports bleeding on brushing consistent with calculus deposits. periodontal cleaning performed; chlorhexidine rinse advised.,cleaning_form,calculus deposits,periodontal cleaning,chlorhexidine rinse,8,synthetic_dental_form_example
29,Endodontic therapy for tooth 6 due to cracked tooth with pulp involvement. endodontic retreatment completed under rubber dam. clindamycin advised.,root_canal_form,cracked tooth with pulp involvement,endodontic retreatment,clindamycin,6,synthetic_dental_form_example
30,Exam indicates small cavity on tooth 6. tooth-colored restoration completed; acetaminophen prescribed.,filling_form,small cavity,tooth-colored restoration,acetaminophen,6,synthetic_dental_form_example
31,Patient reports gum bleeding. Exam shows gingivitis; dentist advised subgingival scaling and antiseptic gel.,cleaning_form,gingivitis,subgingival scaling,antiseptic gel,12,synthetic_dental_form_example
32,Patient with chronic periodontitis attends for maintenance therapy. periodontal therapy completed; ibuprofen continued.,periodontal_form,chronic periodontitis,periodontal therapy,ibuprofen,32,synthetic_dental_form_example
33,Six-month recall. plaque buildup detected. scaling and polishing carried out; antiseptic gel advised.,cleaning_form,plaque buildup,scaling and polishing,antiseptic gel,26,synthetic_dental_form_example
34,Temporary crown on tooth 3 for tooth discoloration. Permanent full coverage crown due in two weeks. desensitizing gel given.,crown_bridge_form,tooth discoloration,full coverage crown,desensitizing gel,3,synthetic_dental_form_example
35,Crown assessment for tooth 6 with cracked tooth. impression taking commenced; impressions sent. acetaminophen provided.,crown_bridge_form,cracked tooth,impression taking,acetaminophen,6,synthetic_dental_form_example
36,Patient enquires about laser whitening for intrinsic staining. Expectations discussed; fluoride prescribed.,whitening_form,intrinsic staining,laser whitening,fluoride,30,synthetic_dental_form_example
37,Endodontic therapy for tooth 14 due to periapical abscess. canal shaping completed under rubber dam. metronidazole advised.,root_canal_form,periapical abscess,canal shaping,metronidazole,14,synthetic_dental_form_example
38,Take-home take-home whitening kit kit provided for intrinsic staining. fluoride prescribed if sensitivity arises.,whitening_form,intrinsic staining,take-home whitening kit,fluoride,29,synthetic_dental_form_example
39,Emergency surgical extraction for tooth 1 due to non-restorable tooth. naproxen prescribed for infection control.,extraction_form,non-restorable tooth,surgical extraction,naproxen,1,synthetic_dental_form_example
40,Bridge fitting for missing tooth region near 17. Adjacent teeth prepared; desensitizing gel advised.,crown_bridge_form,compromised tooth structure,temporary crown placement,desensitizing gel,17,synthetic_dental_form_example
41,Extraction consent obtained for tooth 25. Diagnosis: severe bone loss. Medication: clindamycin.,extraction_form,severe bone loss,surgical extraction,clindamycin,25,synthetic_dental_form_example
42,Surgical periodontal surgery planned for unresolved chronic periodontitis. metronidazole adjusted pre-operatively.,periodontal_form,chronic periodontitis,periodontal surgery,metronidazole,22,synthetic_dental_form_example
43,Post-operative review for simple extraction of tooth 32. Original diagnosis: severe bone loss. ibuprofen continued.,extraction_form,severe bone loss,simple extraction,ibuprofen,32,synthetic_dental_form_example
44,Patient presents with gum inflammation. oral hygiene instruction completed and desensitizing gel prescribed.,cleaning_form,gum inflammation,oral hygiene instruction,desensitizing gel,9,synthetic_dental_form_example
45,Dental trauma: cracked tooth emergency on tooth 4. emergency extraction carried out; amoxicillin prescribed.,emergency_form,cracked tooth emergency,emergency extraction,amoxicillin,4,synthetic_dental_form_example
46,Radiograph confirms advanced infection affecting tooth 5. socket irrigation performed and ibuprofen advised post-operatively.,extraction_form,advanced infection,socket irrigation,ibuprofen,5,synthetic_dental_form_example
47,Aesthetic consultation for stained teeth. teeth whitening recommended; fluoride advised.,whitening_form,stained teeth,teeth whitening,fluoride,6,synthetic_dental_form_example
48,Routine hygiene visit. gingivitis noted. subgingival scaling completed; desensitizing gel recommended daily.,cleaning_form,gingivitis,subgingival scaling,desensitizing gel,23,synthetic_dental_form_example
49,Take-home teeth whitening kit provided for extrinsic staining. hydrogen peroxide gel prescribed if sensitivity arises.,whitening_form,extrinsic staining,teeth whitening,hydrogen peroxide gel,8,synthetic_dental_form_example
50,Emergency wire adjustment for rotated teeth. bracket placement ongoing; acetaminophen recommended for pain.,orthodontic_form,rotated teeth,bracket placement,acetaminophen,4,synthetic_dental_form_example
51,Patient presents with severe decay on tooth 18. Dentist performed surgical extraction and prescribed metronidazole.,extraction_form,severe decay,surgical extraction,metronidazole,18,synthetic_dental_form_example
52,Patient requests whitening for intrinsic staining. teeth whitening initiated; carbamide peroxide prescribed for sensitivity.,whitening_form,intrinsic staining,teeth whitening,carbamide peroxide,30,synthetic_dental_form_example
53,Patient reports discomfort from aligner fitting. impacted canine being managed; wire trimmed. orthodontic wax suggested.,orthodontic_form,impacted canine,aligner fitting,orthodontic wax,12,synthetic_dental_form_example
54,Take-home take-home whitening kit kit provided for extrinsic staining. hydrogen peroxide gel prescribed if sensitivity arises.,whitening_form,extrinsic staining,take-home whitening kit,hydrogen peroxide gel,31,synthetic_dental_form_example
55,Out-of-hours for knocked out tooth. Patient seen same day. emergency extraction completed; naproxen given.,emergency_form,knocked out tooth,emergency extraction,naproxen,12,synthetic_dental_form_example
56,Tooth 23 diagnosed with dental abscess. root canal treatment recommended and clindamycin prescribed.,root_canal_form,dental abscess,root canal treatment,clindamycin,23,synthetic_dental_form_example
57,Severe pain from tooth 15. Diagnosis: chronic apical periodontitis. Emergency post and core placement commenced; ibuprofen prescribed.,root_canal_form,chronic apical periodontitis,post and core placement,ibuprofen,15,synthetic_dental_form_example
58,In-office enamel polishing for stained teeth. Shade improved by four shades; hydrogen peroxide gel given.,whitening_form,stained teeth,enamel polishing,hydrogen peroxide gel,27,synthetic_dental_form_example
59,Patient presents with chronic periodontitis. Full mouth periodontal therapy planned; minocycline prescribed.,periodontal_form,chronic periodontitis,periodontal therapy,minocycline,10,synthetic_dental_form_example
60,Endodontic therapy for tooth 9 due to pulp exposure. pulp removal completed under rubber dam. ibuprofen advised.,root_canal_form,pulp exposure,pulp removal,ibuprofen,9,synthetic_dental_form_example
61,Secondary dental caries on tooth 5 treated with tooth restoration. acetaminophen advised.,filling_form,dental caries,tooth restoration,acetaminophen,5,synthetic_dental_form_example
62,Aesthetic consultation for post-orthodontic discoloration. bleaching treatment recommended; hydrogen peroxide gel advised.,whitening_form,post-orthodontic discoloration,bleaching treatment,hydrogen peroxide gel,26,synthetic_dental_form_example
63,Tooth 2 with cracked tooth with pulp involvement treated with canal shaping over two visits. lidocaine given.,root_canal_form,cracked tooth with pulp involvement,canal shaping,lidocaine,2,synthetic_dental_form_example
64,Final bridge fitting on tooth 3 following cracked tooth. Permanent crown cemented; fluoride dispensed.,crown_bridge_form,cracked tooth,bridge fitting,fluoride,3,synthetic_dental_form_example
65,Tooth 32 requires full coverage crown due to severely decayed tooth. Impression taken; lidocaine prescribed.,crown_bridge_form,severely decayed tooth,full coverage crown,lidocaine,32,synthetic_dental_form_example
66,Annual dental examination: patient reports facial swelling. treatment planning completed; mouth rinse given.,consultation_form,facial swelling,treatment planning,mouth rinse,18,synthetic_dental_form_example
67,Dental trauma: avulsed tooth on tooth 29. pain management carried out; metronidazole prescribed.,emergency_form,avulsed tooth,pain management,metronidazole,29,synthetic_dental_form_example
68,Post root canal crown preparation for tooth 30. compromised tooth structure noted. desensitizing gel prescribed.,crown_bridge_form,compromised tooth structure,crown preparation,desensitizing gel,30,synthetic_dental_form_example
69,Emergency wire adjustment for crossbite. retainer fitting ongoing; acetaminophen recommended for pain.,orthodontic_form,crossbite,retainer fitting,acetaminophen,24,synthetic_dental_form_example
70,Hygiene therapist performed periodontal cleaning for tartar accumulation. desensitizing gel recommended for home care.,cleaning_form,tartar accumulation,periodontal cleaning,desensitizing gel,5,synthetic_dental_form_example
71,Tooth 10 is not restorable due to severe bone loss. post extraction care completed and amoxicillin prescribed.,extraction_form,severe bone loss,post extraction care,amoxicillin,10,synthetic_dental_form_example
72,Orthodontic records taken. Diagnosis: underbite. wire adjustment to begin next appointment. ibuprofen given.,orthodontic_form,underbite,wire adjustment,ibuprofen,2,synthetic_dental_form_example
73,Probing depths confirm aggressive periodontitis. scaling and root planing recommended; clindamycin commenced.,periodontal_form,aggressive periodontitis,scaling and root planing,clindamycin,19,synthetic_dental_form_example
74,Patient with coffee staining wishes aesthetic improvement. whitening tray fitting recommended; fluoride provided.,whitening_form,coffee staining,whitening tray fitting,fluoride,22,synthetic_dental_form_example
75,Specialist referral for endodontic retreatment of tooth 23 with infected root canal. ibuprofen provided in interim.,root_canal_form,infected root canal,endodontic retreatment,ibuprofen,23,synthetic_dental_form_example
76,Two-week review post whitening tray fitting. tobacco staining lightened successfully; desensitizing gel recommended for maintenance.,whitening_form,tobacco staining,whitening tray fitting,desensitizing gel,20,synthetic_dental_form_example
77,Oral surgery on tooth 8 for root fracture. Procedure: bone grafting post extraction. Post-op chlorhexidine rinse dispensed.,extraction_form,root fracture,bone grafting post extraction,chlorhexidine rinse,8,synthetic_dental_form_example
78,Initial consultation for oral ulcers. Dentist performed oral examination; naproxen recommended short-term.,consultation_form,oral ulcers,oral examination,naproxen,15,synthetic_dental_form_example
79,Final temporary crown placement on tooth 17 following broken cusp. Permanent crown cemented; desensitizing gel dispensed.,crown_bridge_form,broken cusp,temporary crown placement,desensitizing gel,17,synthetic_dental_form_example
80,Endodontic consultation for tooth 15. Findings: infected root canal. root canal treatment planned; metronidazole given.,root_canal_form,infected root canal,root canal treatment,metronidazole,15,synthetic_dental_form_example
81,Patient presents with dental trauma. Emergency temporary restoration performed; naproxen prescribed.,emergency_form,dental trauma,temporary restoration,naproxen,17,synthetic_dental_form_example
82,Treatment plan for overbite. aligner fitting to commence following extractions; ibuprofen dispensed.,orthodontic_form,overbite,aligner fitting,ibuprofen,19,synthetic_dental_form_example
83,Dental caries on tooth 13 treated with temporary filling. desensitizing gel given for comfort.,filling_form,sensitivity from decay,temporary filling,desensitizing gel,13,synthetic_dental_form_example
84,Acute periodontal abscess treated with emergency flap surgery. amoxicillin prescribed urgently.,periodontal_form,periodontal abscess,flap surgery,amoxicillin,27,synthetic_dental_form_example
85,Tooth 8 shows proximal caries. Dentist completed temporary filling; ibuprofen advised for sensitivity.,filling_form,proximal caries,temporary filling,ibuprofen,8,synthetic_dental_form_example
86,Retreatment of tooth 8 for irreversible pulpitis. endodontic retreatment performed; amoxicillin prescribed post-operatively.,root_canal_form,irreversible pulpitis,endodontic retreatment,amoxicillin,8,synthetic_dental_form_example
87,Patient scheduled for simple extraction due to failed root canal on tooth 21. metronidazole commenced pre-operatively.,extraction_form,failed root canal,simple extraction,metronidazole,21,synthetic_dental_form_example
88,Permanent impression taking delivered for tooth 30. worn down tooth previously managed; lidocaine not required beyond today.,crown_bridge_form,worn down tooth,impression taking,lidocaine,30,synthetic_dental_form_example
89,Tooth 15 requires temporary crown placement due to post root canal crown needed. Impression taken; lidocaine prescribed.,crown_bridge_form,post root canal crown needed,temporary crown placement,lidocaine,15,synthetic_dental_form_example
90,Patient presents with halitosis. scaling and polishing completed and antiseptic gel prescribed.,cleaning_form,halitosis,scaling and polishing,antiseptic gel,3,synthetic_dental_form_example
91,Patient attended for bonding restoration on tooth 10. Diagnosis: fractured cusp. desensitizing gel prescribed.,filling_form,fractured cusp,bonding restoration,desensitizing gel,10,synthetic_dental_form_example
92,Emergency appointment: tooth 6 with pulp infection. Partial root canal treatment completed; naproxen dispensed.,root_canal_form,pulp infection,root canal treatment,naproxen,6,synthetic_dental_form_example
93,Patient returned for bonding restoration of tooth 7 following tooth decay. desensitizing gel provided.,filling_form,tooth decay,bonding restoration,desensitizing gel,7,synthetic_dental_form_example
94,Referral for impacted canine. bracket placement recommended by specialist; ibuprofen dispensed.,orthodontic_form,impacted canine,bracket placement,ibuprofen,32,synthetic_dental_form_example
95,Hygiene appointment completed. Findings: gum inflammation. Procedure: periodontal cleaning. desensitizing gel recommended.,cleaning_form,gum inflammation,periodontal cleaning,desensitizing gel,6,synthetic_dental_form_example
96,Root canal assessment for tooth 26: deep cavity confirmed. obturation scheduled; naproxen prescribed.,root_canal_form,deep cavity,obturation,naproxen,26,synthetic_dental_form_example
97,Orthodontic records taken. Diagnosis: rotated teeth. bracket placement to begin next appointment. orthodontic wax given.,orthodontic_form,rotated teeth,bracket placement,orthodontic wax,15,synthetic_dental_form_example
98,Retainer fitting following wire adjustment. open bite successfully corrected. acetaminophen not required beyond today.,orthodontic_form,open bite,wire adjustment,acetaminophen,32,synthetic_dental_form_example
99,proximal caries found on tooth 2. tooth restoration completed; ibuprofen advised if sensitivity persists.,filling_form,proximal caries,tooth restoration,ibuprofen,2,synthetic_dental_form_example
100,Two-week review post laser whitening. tetracycline staining lightened successfully; fluoride recommended for maintenance.,whitening_form,tetracycline staining,laser whitening,fluoride,2,synthetic_dental_form_example
101,Consultation for teeth grinding. oral cancer screening completed; lidocaine advised.,consultation_form,teeth grinding,oral cancer screening,lidocaine,32,synthetic_dental_form_example
102,Surgical post extraction care completed for tooth 20 with severe decay. Patient tolerated well; acetaminophen given.,extraction_form,severe decay,post extraction care,acetaminophen,20,synthetic_dental_form_example
103,Periodontal charting shows aggressive periodontitis with multiple deep pockets. periodontal therapy planned in quadrants; doxycycline prescribed.,periodontal_form,aggressive periodontitis,periodontal therapy,doxycycline,24,synthetic_dental_form_example
104,Bridge fitting for missing tooth region near 10. Adjacent teeth prepared; lidocaine advised.,crown_bridge_form,tooth discoloration,impression taking,lidocaine,10,synthetic_dental_form_example
105,Patient presents with gum inflammation. deep cleaning completed and fluoride prescribed.,cleaning_form,gum inflammation,deep cleaning,fluoride,15,synthetic_dental_form_example
106,Final temporary crown placement on tooth 21 following missing tooth. Permanent crown cemented; fluoride dispensed.,crown_bridge_form,missing tooth,temporary crown placement,fluoride,21,synthetic_dental_form_example
107,Initial consultation for clicking jaw. Dentist performed consultation; mouth rinse recommended short-term.,consultation_form,clicking jaw,consultation,mouth rinse,4,synthetic_dental_form_example
108,Patient with oral sensitivity attended for bite assessment. Specialist referral considered. mouth rinse prescribed.,consultation_form,oral sensitivity,bite assessment,mouth rinse,9,synthetic_dental_form_example
109,Patient with advanced gum disease attends for maintenance therapy. flap surgery completed; ibuprofen continued.,periodontal_form,advanced gum disease,flap surgery,ibuprofen,30,synthetic_dental_form_example
110,Walk-in emergency: broken tooth. Dentist performed emergency extraction urgently; amoxicillin dispensed.,emergency_form,broken tooth,emergency extraction,amoxicillin,20,synthetic_dental_form_example
111,Two-week review post bleaching treatment. coffee staining lightened successfully; carbamide peroxide recommended for maintenance.,whitening_form,coffee staining,bleaching treatment,carbamide peroxide,1,synthetic_dental_form_example
112,Patient attends for flap surgery. Diagnosis: aggressive periodontitis. minocycline prescribed as adjunct.,periodontal_form,aggressive periodontitis,flap surgery,minocycline,8,synthetic_dental_form_example
113,Orthodontic consultation for open bite. space maintainer placement planned; orthodontic wax dispensed.,orthodontic_form,open bite,space maintainer placement,orthodontic wax,13,synthetic_dental_form_example
114,Dental caries on tooth 25 treated with composite filling. fluoride given for comfort.,filling_form,chipped tooth,composite filling,fluoride,25,synthetic_dental_form_example
115,Laser enamel polishing for tetracycline staining. Immediate improvement noted; hydrogen peroxide gel dispensed.,whitening_form,tetracycline staining,enamel polishing,hydrogen peroxide gel,28,synthetic_dental_form_example
116,Dental caries on tooth 32 treated with tooth-colored restoration. ibuprofen given for comfort.,filling_form,worn enamel,tooth-colored restoration,ibuprofen,32,synthetic_dental_form_example
117,Tooth 28 has secondary caries requiring bonding restoration. acetaminophen prescribed post-procedure.,filling_form,secondary caries,bonding restoration,acetaminophen,28,synthetic_dental_form_example
118,Patient with aggressive periodontitis attends for maintenance therapy. scaling and root planing completed; metronidazole continued.,periodontal_form,aggressive periodontitis,scaling and root planing,metronidazole,3,synthetic_dental_form_example
119,Child patient with broken tooth on tooth 14 following sports injury. emergency root canal completed; acetaminophen dispensed.,emergency_form,broken tooth,emergency root canal,acetaminophen,14,synthetic_dental_form_example
120,Patient with facial swelling attended for diagnostic assessment. Specialist referral considered. mouth rinse prescribed.,consultation_form,facial swelling,diagnostic assessment,mouth rinse,15,synthetic_dental_form_example
121,Three-unit bridge for tooth 9 region. missing tooth on abutment teeth. bridge fitting initiated; ibuprofen dispensed.,crown_bridge_form,missing tooth,bridge fitting,ibuprofen,9,synthetic_dental_form_example
122,Temporary crown on tooth 23 for large existing filling. Permanent temporary crown placement due in two weeks. desensitizing gel given.,crown_bridge_form,large existing filling,temporary crown placement,desensitizing gel,23,synthetic_dental_form_example
123,Emergency visit for toothache. bite assessment completed and mouth rinse given.,consultation_form,toothache,bite assessment,mouth rinse,17,synthetic_dental_form_example
124,Hygiene appointment completed. Findings: halitosis. Procedure: subgingival scaling. mouth rinse recommended.,cleaning_form,halitosis,subgingival scaling,mouth rinse,4,synthetic_dental_form_example
125,Bone grafting for attachment loss. periodontal surgery consent obtained; clindamycin prescribed pre-operatively.,periodontal_form,attachment loss,periodontal surgery,clindamycin,17,synthetic_dental_form_example
126,Acute lost filling on tooth 14. Emergency temporary restoration undertaken; naproxen prescribed.,emergency_form,lost filling,temporary restoration,naproxen,14,synthetic_dental_form_example
127,Swelling related to dental abscess on tooth 21. Urgent root canal treatment for drainage; metronidazole prescribed.,root_canal_form,dental abscess,root canal treatment,metronidazole,21,synthetic_dental_form_example
128,Broken temporary crown on tooth 32. severely decayed tooth present. temporary crown placement repeated; acetaminophen advised.,crown_bridge_form,severely decayed tooth,temporary crown placement,acetaminophen,32,synthetic_dental_form_example
129,Patient with extrinsic staining wishes aesthetic improvement. in-office bleaching recommended; fluoride provided.,whitening_form,extrinsic staining,in-office bleaching,fluoride,7,synthetic_dental_form_example
130,Consultation for clicking jaw. bite assessment completed; ibuprofen advised.,consultation_form,clicking jaw,bite assessment,ibuprofen,11,synthetic_dental_form_example
131,Tooth 25 tested non-vital with chronic apical periodontitis. canal shaping initiated; ibuprofen prescribed.,root_canal_form,chronic apical periodontitis,canal shaping,ibuprofen,25,synthetic_dental_form_example
132,Emergency visit for jaw pain. treatment planning completed and mouth rinse given.,consultation_form,jaw pain,treatment planning,mouth rinse,25,synthetic_dental_form_example
133,Referral for deep periodontal pockets. periodontal surgery to be conducted under specialist care; chlorhexidine rinse initiated.,periodontal_form,deep periodontal pockets,periodontal surgery,chlorhexidine rinse,28,synthetic_dental_form_example
134,Patient reports gum bleeding. Exam shows gum recession; dentist advised subgingival scaling and chlorhexidine rinse.,cleaning_form,gum recession,subgingival scaling,chlorhexidine rinse,17,synthetic_dental_form_example
135,Tooth 1 tested non-vital with chronic apical periodontitis. pulp removal initiated; acetaminophen prescribed.,root_canal_form,chronic apical periodontitis,pulp removal,acetaminophen,1,synthetic_dental_form_example
136,Patient with severe bone loss attends for maintenance therapy. pocket reduction surgery completed; metronidazole continued.,periodontal_form,severe bone loss,pocket reduction surgery,metronidazole,16,synthetic_dental_form_example
137,Hygiene appointment completed. Findings: mild periodontitis. Procedure: periodontal cleaning. desensitizing gel recommended.,cleaning_form,mild periodontitis,periodontal cleaning,desensitizing gel,13,synthetic_dental_form_example
138,Dental trauma: soft tissue laceration on tooth 19. tooth splinting carried out; acetaminophen prescribed.,emergency_form,soft tissue laceration,tooth splinting,acetaminophen,19,synthetic_dental_form_example
139,Orthodontic records taken. Diagnosis: malocclusion. bracket placement to begin next appointment. ibuprofen given.,orthodontic_form,malocclusion,bracket placement,ibuprofen,4,synthetic_dental_form_example
140,Follow-up for ongoing clicking jaw. x ray review reviewed; mouth rinse updated.,consultation_form,clicking jaw,x ray review,mouth rinse,30,synthetic_dental_form_example
141,Patient presenting with moderate periodontitis and sensitivity. dental cleaning completed; desensitizing gel prescribed.,cleaning_form,moderate periodontitis,dental cleaning,desensitizing gel,18,synthetic_dental_form_example
142,Secondary dental caries on tooth 17 treated with bonding restoration. lidocaine advised.,filling_form,dental caries,bonding restoration,lidocaine,17,synthetic_dental_form_example
143,Definitive full coverage crown on tooth 11. broken cusp addressed with full coverage crown. ibuprofen recommended.,crown_bridge_form,broken cusp,full coverage crown,ibuprofen,11,synthetic_dental_form_example
144,Emergency appointment for dental trauma on tooth 25. temporary restoration performed; amoxicillin given.,emergency_form,dental trauma,temporary restoration,amoxicillin,25,synthetic_dental_form_example
145,Patient presents with advanced gum disease. Full mouth guided tissue regeneration planned; amoxicillin prescribed.,periodontal_form,advanced gum disease,guided tissue regeneration,amoxicillin,11,synthetic_dental_form_example
146,Severe pain from tooth 7. Diagnosis: dental abscess. Emergency root canal treatment commenced; amoxicillin prescribed.,root_canal_form,dental abscess,root canal treatment,amoxicillin,7,synthetic_dental_form_example
147,Surgical tooth extraction completed for tooth 22 with advanced infection. Patient tolerated well; clindamycin given.,extraction_form,advanced infection,tooth extraction,clindamycin,22,synthetic_dental_form_example
148,Consultation for oral sensitivity. x ray review completed; ibuprofen advised.,consultation_form,oral sensitivity,x ray review,ibuprofen,11,synthetic_dental_form_example
149,Severe pain from tooth 31. Diagnosis: irreversible pulpitis. Emergency pulp removal commenced; acetaminophen prescribed.,root_canal_form,irreversible pulpitis,pulp removal,acetaminophen,31,synthetic_dental_form_example
150,Advanced attachment loss detected. periodontal therapy required; clindamycin commenced.,periodontal_form,attachment loss,periodontal therapy,clindamycin,18,synthetic_dental_form_example
151,Root canal assessment for tooth 19: infected root canal confirmed. pulp removal scheduled; clindamycin prescribed.,root_canal_form,infected root canal,pulp removal,clindamycin,19,synthetic_dental_form_example
152,Referral for gingival recession. scaling and root planing to be conducted under specialist care; doxycycline initiated.,periodontal_form,gingival recession,scaling and root planing,doxycycline,25,synthetic_dental_form_example
153,Clinical consultation: bad breath; bite assessment performed. naproxen prescribed.,consultation_form,bad breath,bite assessment,naproxen,18,synthetic_dental_form_example
154,Periodontal assessment reveals chronic periodontitis. guided tissue regeneration initiated; metronidazole prescribed.,periodontal_form,chronic periodontitis,guided tissue regeneration,metronidazole,12,synthetic_dental_form_example
155,Patient requests whitening for tetracycline staining. teeth whitening initiated; desensitizing gel prescribed for sensitivity.,whitening_form,tetracycline staining,teeth whitening,desensitizing gel,10,synthetic_dental_form_example
156,Temporary crown on tooth 31 for worn down tooth. Permanent full coverage crown due in two weeks. acetaminophen given.,crown_bridge_form,worn down tooth,full coverage crown,acetaminophen,31,synthetic_dental_form_example
157,Consultation for stained teeth. teeth whitening discussed; hydrogen peroxide gel recommended.,whitening_form,stained teeth,teeth whitening,hydrogen peroxide gel,6,synthetic_dental_form_example
158,Tooth 12 extracted following confirmed severe decay. simple extraction uneventful; amoxicillin prescribed.,extraction_form,severe decay,simple extraction,amoxicillin,12,synthetic_dental_form_example
159,Emergency visit for gum pain. treatment planning completed and naproxen given.,consultation_form,gum pain,treatment planning,naproxen,5,synthetic_dental_form_example
160,Post root canal permanent crown cementation for tooth 7. worn down tooth noted. desensitizing gel prescribed.,crown_bridge_form,worn down tooth,permanent crown cementation,desensitizing gel,7,synthetic_dental_form_example
161,Laser whitening tray fitting for tobacco staining. Immediate improvement noted; carbamide peroxide dispensed.,whitening_form,tobacco staining,whitening tray fitting,carbamide peroxide,29,synthetic_dental_form_example
